id_sinistre,annee,mois,date_declaration,code_chantier,nom_chantier,type_travaux,departement,phase_chantier,nature_sinistre,tiers_implique,engin_implique,assureur,montant_declare_fcfa,franchise_fcfa,montant_indemnise_fcfa,delai_declaration_jours,delai_reglement_jours,statut_dossier,responsabilite
TRC-2022-001,2022,4,2022-04-13,CH-003,Route Parakou-N'Dali,Terrassement,Borgou,Gros œuvre,Conduite eau endommagée,SONEB,Pelle hydraulique,NSIA Bénin,1858000,1016000,,8,,En expertise,PORTEO entière
TRC-2022-002,2022,10,2022-10-19,CH-029,Route Covè-Zagnanado,Terrassement,Zou,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Camion benne,UAB,2780000,1208000,,21,,En cours,PORTEO entière
TRC-2022-003,2022,8,2022-08-07,CH-007,Bitumage Natitingou-Tanguiéta,Bitumage,Atacora,Terrassement,Dommages propriété riveraine,Riverain particulier,Chargeur,NSIA Bénin,4284000,984000,2571000.0,20,156.0,Litigieux,PORTEO partielle
TRC-2022-004,2022,1,2022-01-17,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Finition,Effondrement de talus,Collectivité locale,Chargeur,NSIA Bénin,17294000,375000,16101000.0,11,45.0,Litigieux,PORTEO partielle
TRC-2022-005,2022,10,2022-10-08,CH-014,Voirie Parakou Zone industrielle,VRD,Borgou,Terrassement,Dommages propriété riveraine,Riverain particulier,Niveleuse,UAB,2637000,682000,1562000.0,6,184.0,Réglé,PORTEO entière
TRC-2022-006,2022,5,2022-05-13,CH-027,RN2 Bohicon-Dassa Réhabilitation,Bitumage,Zou,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Niveleuse,NSIA Bénin,10215000,485000,0.0,4,,Refusé,PORTEO partielle
TRC-2022-007,2022,8,2022-08-05,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Gros œuvre,Effondrement de talus,Collectivité locale,Finisseur asphalte,COLINA,17836000,1470000,12040000.0,7,151.0,Réglé,PORTEO partielle
TRC-2022-008,2022,7,2022-07-14,CH-018,RN6 Natitingou-Kérou,Bitumage,Atacora,Terrassement,Effondrement de talus,Collectivité locale,Compacteur,SOBAC,11413000,571000,7610000.0,18,172.0,Réglé,PORTEO partielle
TRC-2022-009,2022,5,2022-05-18,CH-019,Pose réseaux eau Glazoué,Pose réseaux,Collines,Réception,Câble SBEE sectionné,SBEE,Rouleau vibrant,SOBAC,2393000,982000,,4,,En cours,PORTEO entière
TRC-2022-010,2022,4,2022-04-24,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Réception,Dommages aux travaux (pluie),PORTEO BTP (bien propre),Rouleau vibrant,SOBAC,5220000,1235000,2871000.0,4,201.0,Réglé,PORTEO entière
TRC-2022-011,2022,9,2022-09-18,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Gros œuvre,Conduite eau endommagée,SONEB,Rouleau vibrant,COLINA,1096000,1384000,0.0,12,161.0,Réglé,PORTEO entière
TRC-2022-012,2022,7,2022-07-26,CH-010,Route Pobè-Kétou,Bitumage,Plateau,Terrassement,Câble SBEE sectionné,SBEE,Camion benne,NSIA Bénin,2398000,1407000,,17,,En cours,PORTEO partielle
TRC-2022-013,2022,8,2022-08-19,CH-002,Voirie urbaine Akpakpa-Fidjrossè,VRD,Littoral,Terrassement,Conduite eau endommagée,SONEB,Camion benne,SAAR-Bénin,1616000,1185000,356000.0,6,77.0,Réglé,PORTEO entière
TRC-2022-014,2022,8,2022-08-09,CH-028,Pose réseaux Parakou Nord,Pose réseaux,Borgou,Gros œuvre,Câble SONEB sectionné,SONEB,Niveleuse,SAAR-Bénin,382000,1025000,0.0,9,213.0,Litigieux,PORTEO entière
TRC-2022-015,2022,7,2022-07-26,CH-017,Assainissement Cotonou Bassin Nokoué,Drainage/assainissement,Littoral,Terrassement,Effondrement de talus,Collectivité locale,Finisseur asphalte,BGFA Bénin,2898000,401000,2354000.0,14,84.0,Réglé,PORTEO partielle
TRC-2022-016,2022,5,2022-05-15,CH-024,VRD Abomey-Calavi Extension,VRD,Atlantique,Terrassement,Conduite eau endommagée,SONEB,Pelle hydraulique,Allianz Bénin,1038000,1181000,0.0,16,238.0,Réglé,PORTEO partielle
TRC-2022-017,2022,6,2022-06-10,CH-016,Route Djougou-Bassila,Terrassement,Donga,Gros œuvre,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,NSIA Bénin,1719000,939000,689000.0,11,166.0,Réglé,PORTEO entière
TRC-2022-018,2022,11,2022-11-15,CH-013,Pont sur Ouémé à Adjohoun,Ouvrage d'art,Ouémé,Réception,Dommages propriété riveraine,Riverain particulier,Finisseur asphalte,COLINA,3566000,1119000,2297000.0,10,208.0,Réglé,PORTEO entière
TRC-2022-019,2022,6,2022-06-09,CH-026,Drainage Cotonou-Cadjèhoun,Drainage/assainissement,Littoral,Gros œuvre,Câble SONEB sectionné,SONEB,Compacteur,COLINA,665000,769000,,12,,En cours,PORTEO partielle
TRC-2022-020,2022,9,2022-09-06,CH-011,Drainage Bohicon-Abomey,Drainage/assainissement,Zou,Gros œuvre,Conduite eau endommagée,SONEB,Chargeur,Allianz Bénin,650000,1298000,0.0,11,71.0,Réglé,PORTEO partielle
TRC-2022-021,2022,5,2022-05-02,CH-001,RN2 Dassa-Savalou Phase 2,Bitumage,Collines,Terrassement,Conduite eau endommagée,SONEB,Bulldozer,SOBAC,3167000,1013000,,5,,En expertise,PORTEO entière
TRC-2022-022,2022,3,2022-03-20,CH-005,Drainage Abomey-Calavi Nord,Drainage/assainissement,Atlantique,Gros œuvre,Câble SBEE sectionné,SBEE,Bulldozer,SOBAC,2737000,1077000,,7,,En expertise,PORTEO entière
TRC-2022-023,2022,5,2022-05-15,CH-022,Réhabilitation RN1 Ouidah-Hillacondji,Bitumage,Mono,Gros œuvre,Accident corporel sur chantier,Travailleur / sous-traitant,Chargeur,SAAR-Bénin,12059000,1407000,8639000.0,7,215.0,Réglé,PORTEO partielle
